Year/Ports,Petroleum Oil Lubricant(POL) & POL PRODUCTS,FERTILSER & FERTILISER PRODUCTS,IRON ORE,COAL,FOOD- GRAINS,CONTAINERS HANDLED,OTHERS,TOTAL CARGO HANDLED
1954-55,3,NA,NA,NA,NA,NA,NA,3
1955-56,150,NA,NA,NA,NA,NA,NA,150
1956-57,249,NA,NA,NA,NA,NA,NA,249
1957-58,464,NA,NA,NA,98,NA,296,858
1958-59,599,2,NA,NA,201,NA,285,1087
1959-60,563,38,NA,NA,191,NA,349,1141
1960-61,708,93,NA,NA,413,NA,359,1573
1961-62,754,40,NA,NA,327,NA,266,1387
1962-63,913,131,NA,NA,342,NA,356,1742
1963-64,951,67,NA,NA,450,NA,311,1779
1964-65,944,90,NA,NA,985,NA,293,2312
1965-66,927,132,NA,NA,1245,NA,201,2505
1966-67,856,291,NA,NA,1242,NA,272,2661
1967-68,631,359,NA,NA,1182,NA,293,2465
1968-69,692,435,NA,NA,564,NA,344,2035
1969-70,942,356,NA,NA,526,NA,286,2110
1970-71,878,203,NA,NA,326,NA,205,1612
1971-72,1224,460,NA,NA,39,NA,309,2032
1972-73,1365,622,NA,NA,43,NA,397,2427
1973-74,1586,546,NA,NA,711,NA,279,3122
1974-75,1719,748,NA,NA,697,NA,379,3543
1975-76,1422,405,NA,NA,939,NA,437,3203
1976-77,1541,679,NA,NA,602,NA,492,3314
1977-78,2135,717,NA,NA,0,NA,918,3770
1978-79,3629,795,NA,NA,0,NA,1446,5870
1979-80,3043,728,NA,NA,0,NA,3521,7292
1980-81,7208,666,NA,NA,374,NA,513,8761
1981-82,7629,600,NA,NA,601,NA,860,9690
1982-83,10151,338,NA,NA,475,NA,1394,12358
1983-84,11361,229,NA,NA,514,NA,2054,14158
1984-85,11938,788,NA,NA,282,112,2625,15745
1985-86,12340,631,NA,NA,302,171,3042,16486
1986-87,11928,397,NA,NA,454,256,3159,16194
1987-88,13395,398,NA,NA,812,335,3143,18083
1988-89,13238,439,NA,NA,580,424,3126,17807
1989-90,14354,1032,NA,NA,436,587,2516,18925
1990-91,15062,1045,NA,NA,585,502,2491,19685
1991-92,16503,1301,NA,NA,940,333,1925,21002
1992-93,17951,1393,NA,NA,600,359,2607,22910
1993-94,18157,1867,NA,NA,629,730,3117,24500
1994-95,18898,1879,NA,NA,689,798,4238,26502
1995-96,21126,1778,NA,NA,2038,961,4436,30339
1996-97,25061,1701,NA,NA,1951,1179,3838,33730
1997-98,29036,2282,NA,NA,1386,1299,4898,38901
1998-99,30468,2217,NA,736,1697,916,4603,40637
1999-00,34612,2766,NA,829,1050,1134,5912,46303
2000-01,25094,2165,NA,624,1273,1287,6298,36741
2001-02,22709,2740,NA,381,2584,1752,7562,37728
2002-03,23014,2945,NA,255,5445,2225,6749,40633
2003-04,23625,2671,NA,244,4804,2406,7773,41523
2004-05,22120,3119,NA,229,2535,2754,10794,41551
2005-06,24297,4137,2,434,1379,2311,13347,45907
2006-07,29711,3993,234,704,2024,2775,13541,52982
2007-08,38225,3916,160,1179,1373,2616,17451,64920
2008-09,45538,5195,298,1874,1029,2136,16154,72224
2009-10,46970,4912,788,3225,632,2432,20541,79500
2010-11,48426,5807,583,3492,674,2586,20312,81880
2011-12,46938,5297,761,4225,1291,2792,21197,82501
2012-13,54544,3678,946,4438,3783,1935,24295,93619
2013-14,52906,3633,586,6350,2732,453,20345,87005
2014-15 ,55589,4502,1160,9967,2223,0,19056,92497
2015-16 ,54994,4532,952,15001,812,56,23111,99458
2016-17 ,59516,3645,735,15555,586,175,25230,105442
2017-18 ,60452,3704,1371,13787,598,1838,28349,110099
2018-19 ,58930,4245,1479,17177,730,3958,28883,115402
2019-20,61770,4650,751,17861,328,6967,30281,122606
2020-21,52866,4918,156,375,19592,1231,38428,117566
